Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22uF,C45783
"C10, C11, C12, C3, C4, C5, C6, C7, C8, C9",0603,10,100nF,C14663
C13,0805,1,1nF,
C14,1206,1,1uF,
C15,1913,1,47nF,
"C16, C17",0402,2,330pF,C13533
"C18, C19",0402,2,47pF,C1567
"D1, D2",D_SOD-323,2,1N5819WS,C64886
"D3, D4",D_SOD-323,2,1N4148WS,C2128
"D5, D6",LED_D3.0mm,2,LED_Dual_Bidirectional,
J1,BoxHeader_2x05_2.54mm_Europower_2,1,POWER,
J2,AudioJack_PJ301M-12,1,Bounce_Lin,
J3,AudioJack_PJ301M-12,1,Bounce_CV,
J4,AudioJack_PJ301M-12,1,Bounds_Lin,
J5,AudioJack_PJ301M-12,1,Bounds_CV,
J6,AudioJack_PJ301M-12,1,VCA_CV_Triangle,
J7,AudioJack_PJ301M-12,1,VCA_CV_Square,
J8,AudioJack_PJ301M-12,1,Triangle_OUT,
J9,AudioJack_PJ301M-12,1,Square_OUT,
"Q1, Q2, Q3, Q4",SOT-363_SC-70-6,4,BCM857BS,C20426291
"Q5, Q6",SOT-23,2,MMBT3906,C7420354
"R1, R2, R3, R4",0402,4,10M,C26082
"R10, R19, R21, R6, R8, R9",0402,6,100K,C25741
"R11, R12, R20, R22, R26, R29, R30, R49, R50",0402,9,10K,C25744
"R13, R14, R15, R16, R51, R53",0402,6,4.7K,C25900
"R17, R18, R24, R25",0402,4,47K,C25792
R23,0402,1,470K,C25790
"R27, R28, R5, R7",0402,4,22K,C25768
"R31, R32",0603,2,15K,C22809
"R33, R34",0402,2,330K,C25778
"R35, R36",0402,2,33K,C25779
"R37, R38",0402,2,6.8K,C25917
"R39, R40, R52, R54",0402,4,1K,C11702
R41,0603,1,240K,C4197
R42,0603,1,360K,C23146
"R43, R44, R45, R46",0402,4,680R,C25130
"R47, R48",0402,2,18K,C25762
"RV1, RV2, RV3, RV4",Potentiometer_RV09,4,B50K,
"RV5, RV6",Potentiometer_RV09,2,B100K,
SW1,ToggleSwitch_2MS1-T2-B4-M2-Q-E-S,1,SW_SPDT_MSM,
"U1, U2",SOIC-16_3.9x9.9mm_P1.27mm,2,LM13700,C174050
"U3, U4, U5",SOIC-14_3.9x8.7mm_P1.27mm,3,TL074,C12594
