Designator,Mid X,Mid Y,Rotation,Layer
C1,175.0,-50.25,0.0,bottom
C10,156.0,-133.75,90.0,bottom
C11,169.0,-91.0,180.0,bottom
C12,158.75,-90.75,90.0,bottom
C13,173.0,-100.0,180.0,bottom
C14,170.5,-108.0,90.0,bottom
C15,175.5,-108.0,90.0,bottom
C16,158.75,-87.5,90.0,bottom
C17,158.75,-94.0,270.0,bottom
C18,169.75,-136.5,270.0,bottom
C19,189.75,-136.5,270.0,bottom
C2,171.0,-50.25,0.0,bottom
C3,178.25,-94.0,270.0,bottom
C4,188.25,-94.25,0.0,bottom
C5,166.0,-123.0,270.0,bottom
C6,180.0,-123.0,90.0,bottom
C7,190.0,-133.75,270.0,bottom
C8,176.0,-133.75,90.0,bottom
C9,170.0,-133.75,270.0,bottom
D1,175.0,-52.5,0.0,bottom
D2,171.0,-52.5,0.0,bottom
D3,157.0,-87.5,90.0,bottom
D4,157.0,-94.25,270.0,bottom
D5,163.0,-113.5,0.0,top
D6,183.0,-113.5,0.0,top
J1,173.0,-64.0,0.0,bottom
J2,158.0,-126.46,0.0,top
J3,168.0,-126.46,0.0,top
J4,178.0,-126.46,0.0,top
J5,188.0,-126.46,0.0,top
J6,158.0,-139.96,0.0,top
J7,178.0,-139.96,0.0,top
J8,168.0,-139.96,0.0,top
J9,188.0,-139.96,0.0,top
Q1,182.95,-67.75,180.0,bottom
Q2,183.0,-75.5,180.0,bottom
Q3,183.0,-63.5,180.0,bottom
Q4,183.0,-80.0,180.0,bottom
Q5,155.0,-82.0,270.0,bottom
Q6,155.0,-100.0,270.0,bottom
R1,158.0,-130.0,180.0,bottom
R10,186.0,-78.75,180.0,bottom
R11,186.0,-63.5,180.0,bottom
R12,186.0,-80.0,180.0,bottom
R13,185.5,-67.75,90.0,bottom
R14,185.5,-75.5,270.0,bottom
R15,186.0,-64.75,180.0,bottom
R16,186.0,-81.25,180.0,bottom
R17,163.0,-57.25,0.0,bottom
R18,163.0,-81.25,0.0,bottom
R19,180.0,-63.5,180.0,bottom
R2,168.0,-130.0,0.0,bottom
R20,180.0,-64.75,0.0,bottom
R21,180.0,-80.0,180.0,bottom
R22,180.0,-81.25,0.0,bottom
R23,178.0,-89.0,180.0,bottom
R24,188.0,-89.0,180.0,bottom
R25,188.0,-90.75,0.0,bottom
R26,188.0,-92.5,180.0,bottom
R27,170.25,-94.0,270.0,bottom
R28,167.75,-94.0,270.0,bottom
R29,167.75,-87.5,270.0,bottom
R3,178.0,-130.0,180.0,bottom
R30,164.75,-96.5,270.0,bottom
R31,158.0,-140.5,270.0,bottom
R32,178.0,-140.5,270.0,bottom
R33,163.25,-96.5,90.0,bottom
R34,161.75,-96.5,90.0,bottom
R35,155.25,-87.5,90.0,bottom
R36,155.25,-94.0,270.0,bottom
R37,155.0,-79.0,90.0,bottom
R38,155.0,-104.25,270.0,bottom
R39,154.0,-87.5,270.0,bottom
R4,188.0,-130.0,0.0,bottom
R40,154.0,-94.0,90.0,bottom
R41,168.0,-115.5,270.0,bottom
R42,178.0,-115.5,270.0,bottom
R43,168.0,-119.25,0.0,bottom
R44,178.0,-119.25,180.0,bottom
R45,167.99,-117.75,0.0,bottom
R46,178.0,-117.75,180.0,bottom
R47,171.0,-136.5,270.0,bottom
R48,191.0,-136.5,270.0,bottom
R49,166.5,-139.25,270.0,bottom
R5,180.5,-67.75,90.0,bottom
R50,186.75,-139.25,270.0,bottom
R51,163.0,-115.75,0.0,bottom
R52,168.0,-139.25,270.0,bottom
R53,183.0,-115.75,0.0,bottom
R54,188.0,-139.25,270.0,bottom
R6,183.0,-57.25,180.0,bottom
R7,180.5,-75.5,90.0,bottom
R8,186.0,-85.5,0.0,bottom
R9,186.0,-62.25,180.0,bottom
RV1,183.0,-55.375,0.0,top
RV2,183.0,-79.375,0.0,top
RV3,163.0,-55.375,0.0,top
RV4,163.0,-79.375,0.0,top
RV5,163.0,-103.375,0.0,top
RV6,183.0,-103.375,0.0,top
SW1,173.0,-113.5,90.0,top
U1,183.0,-91.5,270.0,bottom
U2,173.0,-120.5,270.0,bottom
U3,183.0,-133.25,270.0,bottom
U4,163.0,-133.25,270.0,bottom
U5,163.25,-90.75,270.0,bottom
